Date,Pool,0 - 10,11 - 17,18 - 59,+60,Total
2018-06-16,Spring Time,226,247.0,197.0,27.0,697.0
2018-06-16,S.S. Lions,367,356.0,301.0,23.0,1047.0
2018-06-16,South Cross,177,252.0,149.0,25.0,603.0
2018-06-16,Sunset Hills,281,175.0,205.0,12.0,673.0
2018-06-16,Westwood ,387,326.0,312.0,3.0,1028.0
2018-06-16,Woodlawn,768,804.0,823.0,147.0,2542.0
2018-06-23,Cassiano,679,698.0,549.0,14.0,1940.0
2018-06-23,Concepcion,998,843.0,1125.0,77.0,3043.0
2018-06-23,Cuellar,435,419.0,381.0,26.0,1261.0
2018-06-23,Dellview,637,525.0,606.0,43.0,1811.0
2018-06-23,Elmendorf,0,0.0,0.0,0.0,0.0
2018-06-23,Fairchild,433,449.0,395.0,30.0,1307.0
2018-06-23,Garza,354,400.0,291.0,18.0,1063.0
2018-06-23,Heritage,662,278.0,426.0,48.0,1414.0
2018-06-23,Ward,465,278.0,350.0,22.0,1115.0
2018-06-23,Kennedy,457,437.0,426.0,22.0,1342.0
2018-06-23,Kingsborough,630,572.0,584.0,21.0,1807.0
2018-06-23,LBJ,860,358.0,636.0,58.0,1912.0
2018-06-23,Lincoln,940,780.0,622.0,27.0,2369.0
2018-06-23,Monterrey,580,638.0,505.0,29.0,1752.0
2018-06-23,New Territories,360,258.0,338.0,24.0,980.0
2018-06-23,Normoyle,759,715.0,620.0,41.0,2135.0
2018-06-23,Roosevelt,612,615.0,557.0,34.0,1818.0
2018-06-23,San Pedro,3449,2417.0,3873.0,208.0,9947.0
2018-06-23,Spring Time,363,318.0,317.0,23.0,1021.0
2018-06-23,S.S. Lions,815,639.0,702.0,55.0,2211.0
2018-06-23,South Cross,417,480.0,348.0,28.0,1273.0
2018-06-23,Sunset Hills,456,253.0,335.0,17.0,1061.0
2018-06-23,Westwood ,480,393.0,393.0,26.0,1292.0
2018-06-23,Woodlawn,1335,1350.0,1430.0,213.0,4328.0
2018-07-01,Cassiano,348,335.0,315.0,5.0,1003.0
2018-07-01,Concepcion,408,321.0,506.0,31.0,1266.0
2018-07-01,Cuellar,186,228.0,181.0,12.0,607.0
2018-07-01,Dellview,274,216.0,311.0,26.0,827.0
2018-07-01,Elmendorf,0,0.0,0.0,0.0,0.0
2018-07-01,Fairchild,199,211.0,197.0,6.0,613.0
2018-07-01,Garza,219,254.0,165.0,11.0,649.0
2018-07-01,Heritage,412,206.0,352.0,23.0,993.0
2018-07-01,Ward,292,185.0,237.0,17.0,731.0
2018-07-01,Kennedy,236,251.0,243.0,10.0,740.0
2018-07-01,Kingsborough,395,308.0,325.0,14.0,1042.0
2018-07-01,LBJ,417,233.0,331.0,43.0,1024.0
2018-07-01,Lincoln,349,374.0,285.0,11.0,1019.0
2018-07-01,Monterrey,187,201.0,191.0,19.0,598.0
2018-07-01,New Territories,210,136.0,112.0,9.0,467.0
2018-07-01,Normoyle,359,364.0,335.0,27.0,1085.0
2018-07-01,Roosevelt,471,632.0,596.0,38.0,1737.0
2018-07-01,San Pedro,1558,1309.0,2279.0,124.0,5270.0
2018-07-01,Spring Time,155,184.0,161.0,17.0,517.0
2018-07-01,S.S. Lions,350,278.0,296.0,19.0,943.0
2018-07-01,South Cross,245,211.0,228.0,21.0,705.0
2018-07-01,Sunset Hills,308,144.0,196.0,11.0,659.0
2018-07-01,Westwood ,265,208.0,236.0,10.0,719.0
2018-07-01,Woodlawn,768,768.0,901.0,137.0,2574.0
2018-07-07,Cassiano,421,432.0,372.0,9.0,1234.0
2018-07-07,Concepcion,432,328.0,504.0,48.0,1312.0
2018-07-07,Cuellar,300,276.0,277.0,12.0,865.0
2018-07-07,Dellview,371,310.0,335.0,20.0,1036.0
2018-07-07,Elmendorf,0,0.0,0.0,0.0,0.0
2018-07-07,Fairchild,227,250.0,222.0,21.0,720.0
2018-07-07,Garza,248,291.0,168.0,12.0,719.0
2018-07-07,Heritage,520,228.0,351.0,41.0,1140.0
2018-07-07,Ward,293,127.0,185.0,21.0,626.0
2018-07-07,Kennedy,261,311.0,305.0,13.0,890.0
2018-07-07,Kingsborough,348,384.0,293.0,19.0,1044.0
2018-07-07,LBJ,460,244.0,352.0,62.0,1118.0
2018-07-07,Lincoln,397,412.0,302.0,16.0,1127.0
2018-07-07,Monterrey,257,289.0,310.0,37.0,893.0
2018-07-07,New Territories,244,146.0,199.0,8.0,597.0
2018-07-07,Normoyle,436,480.0,392.0,22.0,1330.0
2018-07-07,Roosevelt,544,649.0,753.0,24.0,1970.0
2018-07-07,San Pedro,1905,1347.0,2387.0,135.0,5774.0
2018-07-07,Spring Time,247,202.0,189.0,15.0,653.0
2018-07-07,S.S. Lions,482,430.0,358.0,30.0,1300.0
2018-07-07,South Cross,224,328.0,247.0,26.0,825.0
2018-07-07,Sunset Hills,333,147.0,231.0,8.0,719.0
2018-07-07,Westwood ,346,218.0,258.0,24.0,846.0
2018-07-07,Woodlawn,715,827.0,802.0,148.0,2492.0
2018-07-14,Cassiano,423,429.0,365.0,10.0,1227.0
2018-07-14,Concepcion,582,392.0,668.0,58.0,1700.0
2018-07-14,Cuellar,280,229.0,270.0,7.0,786.0
2018-07-14,Dellview,401,330.0,394.0,33.0,1158.0
2018-07-14,Elmendorf,0,0.0,0.0,0.0,0.0
2018-07-14,Fairchild,302,257.0,290.0,9.0,858.0
2018-07-14,Garza,275,351.0,200.0,15.0,841.0
2018-07-14,Heritage,574,283.0,413.0,25.0,1295.0
2018-07-14,Ward,279,148.0,209.0,20.0,656.0
2018-07-14,Kennedy,252,225.0,255.0,23.0,755.0
2018-07-14,Kingsborough,397,403.0,370.0,16.0,1186.0
2018-07-14,LBJ,595,251.0,399.0,40.0,1285.0
2018-07-14,Lincoln,531,384.0,325.0,18.0,1258.0
2018-07-14,Monterrey,235,315.0,259.0,27.0,836.0
2018-07-14,New Territories,238,127.0,204.0,20.0,589.0
